/root/miniconda/lib/python3.8/site-packages/torchvision/datapoints/__init__.py:12: UserWarning: The torchvision.datapoints and torchvision.transforms.v2 namespaces are still Beta. While we do not expect major breaking changes, some APIs may still change according to user feedback. Please submit any feedback you may have in this issue: https://github.com/pytorch/vision/issues/6753, and you can also check out https://github.com/pytorch/vision/issues/7319 to learn more about the APIs that we suspect might involve future changes. You can silence this warning by calling torchvision.disable_beta_transforms_warning().
  warnings.warn(_BETA_TRANSFORMS_WARNING)
/root/miniconda/lib/python3.8/site-packages/torchvision/transforms/v2/__init__.py:54: UserWarning: The torchvision.datapoints and torchvision.transforms.v2 namespaces are still Beta. While we do not expect major breaking changes, some APIs may still change according to user feedback. Please submit any feedback you may have in this issue: https://github.com/pytorch/vision/issues/6753, and you can also check out https://github.com/pytorch/vision/issues/7319 to learn more about the APIs that we suspect might involve future changes. You can silence this warning by calling torchvision.disable_beta_transforms_warning().
  warnings.warn(_BETA_TRANSFORMS_WARNING)
[Hardware] TF32 acceleration enabled for Ampere+ GPUs.
[Device] cuda
  GPU: NVIDIA GeForce RTX 3090
  显存: 25.3 GB
[Experiment] dynahate_llm_clp0.0_con0.0_seed123_0315_2228
[Data] Train: 8844 | Val: 1091 | Test: 1111
[CF] 加载 7254 条反事实 (llm)
[ClassWeight] [1.3923174  0.78016937]
[Loss] WeightedCE (ls=0.0)
[Strategy] rampup_epochs=0, fairness loss 线性增长到 epoch 0
[Config] max_len=128, label_smoothing=0.0, ema_decay=0.0
[Val CF] 生成 713 条 swap 反事实 (用于 val CFR 计算)
[Model] /root/lanyun-fs/01nlpchongou/01_nlp_toxicity_classification/models/deberta-v3-base | Params: 184,062,850

============================================================
Epoch 1/6
============================================================

[Train]:   0%|          | 0/553 [00:00<?, ?it/s]
[Train]:   0%|          | 0/553 [00:00<?, ?it/s, ce=0.6986, clp=0.0000, con=0.0000, loss=0.6986]
[Train]:   0%|          | 1/553 [00:00<08:49,  1.04it/s, ce=0.6986, clp=0.0000, con=0.0000, loss=0.6986]
[Train]:   0%|          | 1/553 [00:01<08:49,  1.04it/s, ce=0.7081, clp=0.0000, con=0.0000, loss=0.7081]
[Train]:   0%|          | 2/553 [00:01<04:49,  1.91it/s, ce=0.7081, clp=0.0000, con=0.0000, loss=0.7081]
[Train]:   0%|          | 2/553 [00:01<04:49,  1.91it/s, ce=0.7089, clp=0.0000, con=0.0000, loss=0.7089]
[Train]:   1%|          | 3/553 [00:01<03:17,  2.78it/s, ce=0.7089, clp=0.0000, con=0.0000, loss=0.7089]
[Train]:   1%|          | 3/553 [00:01<03:17,  2.78it/s, ce=0.7103, clp=0.0000, con=0.0000, loss=0.7103]
[Train]:   1%|          | 4/553 [00:01<02:41,  3.40it/s, ce=0.7103, clp=0.0000, con=0.0000, loss=0.7103]
[Train]:   1%|          | 4/553 [00:01<02:41,  3.40it/s, ce=0.7019, clp=0.0000, con=0.0000, loss=0.7019]
[Train]:   1%|          | 5/553 [00:01<02:14,  4.09it/s, ce=0.7019, clp=0.0000, con=0.0000, loss=0.7019]
[Train]:   1%|          | 5/553 [00:01<02:14,  4.09it/s, ce=0.6958, clp=0.0000, con=0.0000, loss=0.6958]
[Train]:   1%|          | 6/553 [00:01<02:03,  4.43it/s, ce=0.6958, clp=0.0000, con=0.0000, loss=0.6958]
[Train]:   1%|          | 6/553 [00:02<02:03,  4.43it/s, ce=0.7066, clp=0.0000, con=0.0000, loss=0.7066]
[Train]:   1%|▏         | 7/553 [00:02<01:51,  4.88it/s, ce=0.7066, clp=0.0000, con=0.0000, loss=0.7066]
[Train]:   1%|▏         | 7/553 [00:02<01:51,  4.88it/s, ce=0.7017, clp=0.0000, con=0.0000, loss=0.7017]
[Train]:   1%|▏         | 8/553 [00:02<01:49,  4.97it/s, ce=0.7017, clp=0.0000, con=0.0000, loss=0.7017]
[Train]:   1%|▏         | 8/553 [00:02<01:49,  4.97it/s, ce=0.6997, clp=0.0000, con=0.0000, loss=0.6997]
[Train]:   2%|▏         | 9/553 [00:02<01:44,  5.20it/s, ce=0.6997, clp=0.0000, con=0.0000, loss=0.6997]
[Train]:   2%|▏         | 9/553 [00:02<01:44,  5.20it/s, ce=0.6959, clp=0.0000, con=0.0000, loss=0.6959]
[Train]:   2%|▏         | 10/553 [00:02<01:45,  5.17it/s, ce=0.6959, clp=0.0000, con=0.0000, loss=0.6959]
[Train]:   2%|▏         | 10/553 [00:02<01:45,  5.17it/s, ce=0.6975, clp=0.0000, con=0.0000, loss=0.6975]
[Train]:   2%|▏         | 11/553 [00:02<01:41,  5.34it/s, ce=0.6975, clp=0.0000, con=0.0000, loss=0.6975]
[Train]:   2%|▏         | 11/553 [00:02<01:41,  5.34it/s, ce=0.6984, clp=0.0000, con=0.0000, loss=0.6984]
[Train]:   2%|▏         | 12/553 [00:02<01:43,  5.23it/s, ce=0.6984, clp=0.0000, con=0.0000, loss=0.6984]
[Train]:   2%|▏         | 12/553 [00:03<01:43,  5.23it/s, ce=0.7035, clp=0.0000, con=0.0000, loss=0.7035]
[Train]:   2%|▏         | 13/553 [00:03<01:38,  5.48it/s, ce=0.7035, clp=0.0000, con=0.0000, loss=0.7035]
[Train]:   2%|▏         | 13/553 [00:03<01:38,  5.48it/s, ce=0.7053, clp=0.0000, con=0.0000, loss=0.7053]
[Train]:   3%|▎         | 14/553 [00:03<01:40,  5.37it/s, ce=0.7053, clp=0.0000, con=0.0000, loss=0.7053]
[Train]:   3%|▎         | 14/553 [00:03<01:40,  5.37it/s, ce=0.7045, clp=0.0000, con=0.0000, loss=0.7045]
[Train]:   3%|▎         | 15/553 [00:03<01:37,  5.51it/s, ce=0.7045, clp=0.0000, con=0.0000, loss=0.7045]
[Train]:   3%|▎         | 15/553 [00:03<01:37,  5.51it/s, ce=0.7001, clp=0.0000, con=0.0000, loss=0.7001]
[Train]:   3%|▎         | 16/553 [00:03<01:37,  5.49it/s, ce=0.7001, clp=0.0000, con=0.0000, loss=0.7001]
[Train]:   3%|▎         | 16/553 [00:03<01:37,  5.49it/s, ce=0.6995, clp=0.0000, con=0.0000, loss=0.6995]
[Train]:   3%|▎         | 17/553 [00:03<01:33,  5.71it/s, ce=0.6995, clp=0.0000, con=0.0000, loss=0.6995]
[Train]:   3%|▎         | 17/553 [00:04<01:33,  5.71it/s, ce=0.6986, clp=0.0000, con=0.0000, loss=0.6986]
[Train]:   3%|▎         | 18/553 [00:04<01:34,  5.65it/s, ce=0.6986, clp=0.0000, con=0.0000, loss=0.6986]
[Train]:   3%|▎         | 18/553 [00:04<01:34,  5.65it/s, ce=0.6981, clp=0.0000, con=0.0000, loss=0.6981]
[Train]:   3%|▎         | 19/553 [00:04<01:30,  5.87it/s, ce=0.6981, clp=0.0000, con=0.0000, loss=0.6981]
[Train]:   3%|▎         | 19/553 [00:04<01:30,  5.87it/s, ce=0.6992, clp=0.0000, con=0.0000, loss=0.6992]
[Train]:   4%|▎         | 20/553 [00:04<01:32,  5.74it/s, ce=0.6992, clp=0.0000, con=0.0000, loss=0.6992]
[Train]:   4%|▎         | 20/553 [00:04<01:32,  5.74it/s, ce=0.6994, clp=0.0000, con=0.0000, loss=0.6994]
[Train]:   4%|▍         | 21/553 [00:04<01:31,  5.79it/s, ce=0.6994, clp=0.0000, con=0.0000, loss=0.6994]
[Train]:   4%|▍         | 21/553 [00:04<01:31,  5.79it/s, ce=0.7006, clp=0.0000, con=0.0000, loss=0.7006]
[Train]:   4%|▍         | 22/553 [00:04<01:33,  5.66it/s, ce=0.7006, clp=0.0000, con=0.0000, loss=0.7006]
[Train]:   4%|▍         | 22/553 [00:04<01:33,  5.66it/s, ce=0.6998, clp=0.0000, con=0.0000, loss=0.6998]
[Train]:   4%|▍         | 23/553 [00:04<01:32,  5.75it/s, ce=0.6998, clp=0.0000, con=0.0000, loss=0.6998]
[Train]:   4%|▍         | 23/553 [00:05<01:32,  5.75it/s, ce=0.7023, clp=0.0000, con=0.0000, loss=0.7023]
[Train]:   4%|▍         | 24/553 [00:05<01:33,  5.64it/s, ce=0.7023, clp=0.0000, con=0.0000, loss=0.7023]
[Train]:   4%|▍         | 24/553 [00:05<01:33,  5.64it/s, ce=0.7027, clp=0.0000, con=0.0000, loss=0.7027]
[Train]:   5%|▍         | 25/553 [00:05<01:31,  5.77it/s, ce=0.7027, clp=0.0000, con=0.0000, loss=0.7027]
[Train]:   5%|▍         | 25/553 [00:05<01:31,  5.77it/s, ce=0.7026, clp=0.0000, con=0.0000, loss=0.7026]
[Train]:   5%|▍         | 26/553 [00:05<01:34,  5.55it/s, ce=0.7026, clp=0.0000, con=0.0000, loss=0.7026]
[Train]:   5%|▍         | 26/553 [00:05<01:34,  5.55it/s, ce=0.7038, clp=0.0000, con=0.0000, loss=0.7038]
[Train]:   5%|▍         | 27/553 [00:05<01:33,  5.64it/s, ce=0.7038, clp=0.0000, con=0.0000, loss=0.7038]
[Train]:   5%|▍         | 27/553 [00:05<01:33,  5.64it/s, ce=0.7058, clp=0.0000, con=0.0000, loss=0.7058]
[Train]:   5%|▌         | 28/553 [00:05<01:34,  5.54it/s, ce=0.7058, clp=0.0000, con=0.0000, loss=0.7058]
