/root/miniconda/lib/python3.8/site-packages/torchvision/datapoints/__init__.py:12: UserWarning: The torchvision.datapoints and torchvision.transforms.v2 namespaces are still Beta. While we do not expect major breaking changes, some APIs may still change according to user feedback. Please submit any feedback you may have in this issue: https://github.com/pytorch/vision/issues/6753, and you can also check out https://github.com/pytorch/vision/issues/7319 to learn more about the APIs that we suspect might involve future changes. You can silence this warning by calling torchvision.disable_beta_transforms_warning().
  warnings.warn(_BETA_TRANSFORMS_WARNING)
/root/miniconda/lib/python3.8/site-packages/torchvision/transforms/v2/__init__.py:54: UserWarning: The torchvision.datapoints and torchvision.transforms.v2 namespaces are still Beta. While we do not expect major breaking changes, some APIs may still change according to user feedback. Please submit any feedback you may have in this issue: https://github.com/pytorch/vision/issues/6753, and you can also check out https://github.com/pytorch/vision/issues/7319 to learn more about the APIs that we suspect might involve future changes. You can silence this warning by calling torchvision.disable_beta_transforms_warning().
  warnings.warn(_BETA_TRANSFORMS_WARNING)
[Hardware] TF32 acceleration enabled for Ampere+ GPUs.
[Device] cuda
  GPU: NVIDIA GeForce RTX 3090
  显存: 25.3 GB
[Experiment] dynahate_swap_clp1.0_con0.0_seed42_0315_2155
[Data] Train: 8844 | Val: 1091 | Test: 1111
[CF] 加载 12263 条反事实 (swap)
[ClassWeight] [1.3923174  0.78016937]
[Loss] WeightedCE (ls=0.0)
[Strategy] rampup_epochs=0, fairness loss 线性增长到 epoch 0
[Config] max_len=128, label_smoothing=0.0, ema_decay=0.0
[Val CF] 生成 713 条 swap 反事实 (用于 val CFR 计算)
[Model] /root/lanyun-fs/01nlpchongou/01_nlp_toxicity_classification/models/deberta-v3-base | Params: 184,062,850

============================================================
Epoch 1/6
============================================================

[Train]:   0%|          | 0/553 [00:00<?, ?it/s]
[Train]:   0%|          | 0/553 [00:01<?, ?it/s, ce=0.8040, clp=0.0817, con=0.0000, loss=0.8857]
[Train]:   0%|          | 1/553 [00:01<10:03,  1.09s/it, ce=0.8040, clp=0.0817, con=0.0000, loss=0.8857]
[Train]:   0%|          | 1/553 [00:01<10:03,  1.09s/it, ce=0.7759, clp=0.0568, con=0.0000, loss=0.8327]
[Train]:   0%|          | 2/553 [00:01<05:04,  1.81it/s, ce=0.7759, clp=0.0568, con=0.0000, loss=0.8327]
[Train]:   0%|          | 2/553 [00:01<05:04,  1.81it/s, ce=0.7425, clp=0.0594, con=0.0000, loss=0.8019]
[Train]:   1%|          | 3/553 [00:01<03:27,  2.65it/s, ce=0.7425, clp=0.0594, con=0.0000, loss=0.8019]
[Train]:   1%|          | 3/553 [00:01<03:27,  2.65it/s, ce=0.7034, clp=0.0590, con=0.0000, loss=0.7623]
[Train]:   1%|          | 4/553 [00:01<02:55,  3.13it/s, ce=0.7034, clp=0.0590, con=0.0000, loss=0.7623]
[Train]:   1%|          | 4/553 [00:01<02:55,  3.13it/s, ce=0.7238, clp=0.0541, con=0.0000, loss=0.7779]
[Train]:   1%|          | 5/553 [00:01<02:28,  3.69it/s, ce=0.7238, clp=0.0541, con=0.0000, loss=0.7779]
[Train]:   1%|          | 5/553 [00:02<02:28,  3.69it/s, ce=0.7208, clp=0.0578, con=0.0000, loss=0.7785]
[Train]:   1%|          | 6/553 [00:02<02:14,  4.07it/s, ce=0.7208, clp=0.0578, con=0.0000, loss=0.7785]
[Train]:   1%|          | 6/553 [00:02<02:14,  4.07it/s, ce=0.7202, clp=0.0607, con=0.0000, loss=0.7810]
[Train]:   1%|▏         | 7/553 [00:02<02:00,  4.52it/s, ce=0.7202, clp=0.0607, con=0.0000, loss=0.7810]
[Train]:   1%|▏         | 7/553 [00:02<02:00,  4.52it/s, ce=0.7220, clp=0.0579, con=0.0000, loss=0.7800]
[Train]:   1%|▏         | 8/553 [00:02<01:56,  4.69it/s, ce=0.7220, clp=0.0579, con=0.0000, loss=0.7800]
[Train]:   1%|▏         | 8/553 [00:02<01:56,  4.69it/s, ce=0.7131, clp=0.0598, con=0.0000, loss=0.7729]
[Train]:   2%|▏         | 9/553 [00:02<01:49,  4.98it/s, ce=0.7131, clp=0.0598, con=0.0000, loss=0.7729]
[Train]:   2%|▏         | 9/553 [00:02<01:49,  4.98it/s, ce=0.7068, clp=0.0625, con=0.0000, loss=0.7693]
[Train]:   2%|▏         | 10/553 [00:02<01:51,  4.89it/s, ce=0.7068, clp=0.0625, con=0.0000, loss=0.7693]
[Train]:   2%|▏         | 10/553 [00:02<01:51,  4.89it/s, ce=0.7135, clp=0.0624, con=0.0000, loss=0.7759]
[Train]:   2%|▏         | 11/553 [00:02<01:45,  5.12it/s, ce=0.7135, clp=0.0624, con=0.0000, loss=0.7759]
[Train]:   2%|▏         | 11/553 [00:03<01:45,  5.12it/s, ce=0.7194, clp=0.0611, con=0.0000, loss=0.7806]
[Train]:   2%|▏         | 12/553 [00:03<01:46,  5.08it/s, ce=0.7194, clp=0.0611, con=0.0000, loss=0.7806]
[Train]:   2%|▏         | 12/553 [00:03<01:46,  5.08it/s, ce=0.7258, clp=0.0608, con=0.0000, loss=0.7866]
[Train]:   2%|▏         | 13/553 [00:03<01:42,  5.24it/s, ce=0.7258, clp=0.0608, con=0.0000, loss=0.7866]
[Train]:   2%|▏         | 13/553 [00:03<01:42,  5.24it/s, ce=0.7238, clp=0.0614, con=0.0000, loss=0.7853]
[Train]:   3%|▎         | 14/553 [00:03<01:45,  5.13it/s, ce=0.7238, clp=0.0614, con=0.0000, loss=0.7853]
[Train]:   3%|▎         | 14/553 [00:03<01:45,  5.13it/s, ce=0.7186, clp=0.0605, con=0.0000, loss=0.7791]
[Train]:   3%|▎         | 15/553 [00:03<01:42,  5.25it/s, ce=0.7186, clp=0.0605, con=0.0000, loss=0.7791]
[Train]:   3%|▎         | 15/553 [00:03<01:42,  5.25it/s, ce=0.7228, clp=0.0623, con=0.0000, loss=0.7851]
[Train]:   3%|▎         | 16/553 [00:03<01:46,  5.06it/s, ce=0.7228, clp=0.0623, con=0.0000, loss=0.7851]
[Train]:   3%|▎         | 16/553 [00:04<01:46,  5.06it/s, ce=0.7151, clp=0.0594, con=0.0000, loss=0.7745]
[Train]:   3%|▎         | 17/553 [00:04<01:41,  5.28it/s, ce=0.7151, clp=0.0594, con=0.0000, loss=0.7745]
[Train]:   3%|▎         | 17/553 [00:04<01:41,  5.28it/s, ce=0.7146, clp=0.0581, con=0.0000, loss=0.7727]
[Train]:   3%|▎         | 18/553 [00:04<01:42,  5.20it/s, ce=0.7146, clp=0.0581, con=0.0000, loss=0.7727]
[Train]:   3%|▎         | 18/553 [00:04<01:42,  5.20it/s, ce=0.7131, clp=0.0587, con=0.0000, loss=0.7719]
[Train]:   3%|▎         | 19/553 [00:04<01:39,  5.39it/s, ce=0.7131, clp=0.0587, con=0.0000, loss=0.7719]
[Train]:   3%|▎         | 19/553 [00:04<01:39,  5.39it/s, ce=0.7141, clp=0.0570, con=0.0000, loss=0.7711]
[Train]:   4%|▎         | 20/553 [00:04<01:42,  5.22it/s, ce=0.7141, clp=0.0570, con=0.0000, loss=0.7711]
[Train]:   4%|▎         | 20/553 [00:04<01:42,  5.22it/s, ce=0.7126, clp=0.0568, con=0.0000, loss=0.7694]
[Train]:   4%|▍         | 21/553 [00:04<01:43,  5.15it/s, ce=0.7126, clp=0.0568, con=0.0000, loss=0.7694]
[Train]:   4%|▍         | 21/553 [00:05<01:43,  5.15it/s, ce=0.7183, clp=0.0622, con=0.0000, loss=0.7805]
[Train]:   4%|▍         | 22/553 [00:05<01:43,  5.11it/s, ce=0.7183, clp=0.0622, con=0.0000, loss=0.7805]
[Train]:   4%|▍         | 22/553 [00:05<01:43,  5.11it/s, ce=0.7213, clp=0.0620, con=0.0000, loss=0.7833]
[Train]:   4%|▍         | 23/553 [00:05<01:39,  5.32it/s, ce=0.7213, clp=0.0620, con=0.0000, loss=0.7833]
[Train]:   4%|▍         | 23/553 [00:05<01:39,  5.32it/s, ce=0.7200, clp=0.0615, con=0.0000, loss=0.7815]
[Train]:   4%|▍         | 24/553 [00:05<01:40,  5.25it/s, ce=0.7200, clp=0.0615, con=0.0000, loss=0.7815]
[Train]:   4%|▍         | 24/553 [00:05<01:40,  5.25it/s, ce=0.7162, clp=0.0621, con=0.0000, loss=0.7784]
[Train]:   5%|▍         | 25/553 [00:05<01:38,  5.38it/s, ce=0.7162, clp=0.0621, con=0.0000, loss=0.7784]
[Train]:   5%|▍         | 25/553 [00:05<01:38,  5.38it/s, ce=0.7131, clp=0.0628, con=0.0000, loss=0.7758]
[Train]:   5%|▍         | 26/553 [00:05<01:43,  5.10it/s, ce=0.7131, clp=0.0628, con=0.0000, loss=0.7758]
[Train]:   5%|▍         | 26/553 [00:06<01:43,  5.10it/s, ce=0.7117, clp=0.0623, con=0.0000, loss=0.7740]
[Train]:   5%|▍         | 27/553 [00:06<01:39,  5.29it/s, ce=0.7117, clp=0.0623, con=0.0000, loss=0.7740]
[Train]:   5%|▍         | 27/553 [00:06<01:39,  5.29it/s, ce=0.7070, clp=0.0623, con=0.0000, loss=0.7693]
[Train]:   5%|▌         | 28/553 [00:06<01:40,  5.21it/s, ce=0.7070, clp=0.0623, con=0.0000, loss=0.7693]
