/root/miniconda/lib/python3.8/site-packages/torchvision/datapoints/__init__.py:12: UserWarning: The torchvision.datapoints and torchvision.transforms.v2 namespaces are still Beta. While we do not expect major breaking changes, some APIs may still change according to user feedback. Please submit any feedback you may have in this issue: https://github.com/pytorch/vision/issues/6753, and you can also check out https://github.com/pytorch/vision/issues/7319 to learn more about the APIs that we suspect might involve future changes. You can silence this warning by calling torchvision.disable_beta_transforms_warning().
  warnings.warn(_BETA_TRANSFORMS_WARNING)
/root/miniconda/lib/python3.8/site-packages/torchvision/transforms/v2/__init__.py:54: UserWarning: The torchvision.datapoints and torchvision.transforms.v2 namespaces are still Beta. While we do not expect major breaking changes, some APIs may still change according to user feedback. Please submit any feedback you may have in this issue: https://github.com/pytorch/vision/issues/6753, and you can also check out https://github.com/pytorch/vision/issues/7319 to learn more about the APIs that we suspect might involve future changes. You can silence this warning by calling torchvision.disable_beta_transforms_warning().
  warnings.warn(_BETA_TRANSFORMS_WARNING)
[Hardware] TF32 acceleration enabled for Ampere+ GPUs.
[Device] cuda
  GPU: NVIDIA GeForce RTX 3090
  显存: 25.3 GB
[Experiment] hatexplain_swap_clp1.0_con0.0_seed2024_0315_1916
[Data] Train: 15383 | Val: 1922 | Test: 1924
[CF] 加载 22571 条反事实 (swap)
[ClassWeight] [1.2304431 0.842258 ]
[Loss] WeightedCE (ls=0.0)
[Strategy] rampup_epochs=0, fairness loss 线性增长到 epoch 0
[Config] max_len=128, label_smoothing=0.0, ema_decay=0.0
[Val CF] 生成 1647 条 swap 反事实 (用于 val CFR 计算)
[Model] /root/lanyun-fs/01nlpchongou/01_nlp_toxicity_classification/models/deberta-v3-base | Params: 184,062,850

============================================================
Epoch 1/6
============================================================

[Train]:   0%|          | 0/962 [00:00<?, ?it/s]
[Train]:   0%|          | 0/962 [00:01<?, ?it/s, ce=0.7517, clp=0.0884, con=0.0000, loss=0.8401]
[Train]:   0%|          | 1/962 [00:01<16:07,  1.01s/it, ce=0.7517, clp=0.0884, con=0.0000, loss=0.8401]
[Train]:   0%|          | 1/962 [00:01<16:07,  1.01s/it, ce=0.7104, clp=0.0877, con=0.0000, loss=0.7981]
[Train]:   0%|          | 2/962 [00:01<08:51,  1.81it/s, ce=0.7104, clp=0.0877, con=0.0000, loss=0.7981]
[Train]:   0%|          | 2/962 [00:01<08:51,  1.81it/s, ce=0.7027, clp=0.0696, con=0.0000, loss=0.7723]
[Train]:   0%|          | 3/962 [00:01<06:05,  2.62it/s, ce=0.7027, clp=0.0696, con=0.0000, loss=0.7723]
[Train]:   0%|          | 3/962 [00:01<06:05,  2.62it/s, ce=0.7097, clp=0.0785, con=0.0000, loss=0.7882]
[Train]:   0%|          | 4/962 [00:01<04:58,  3.21it/s, ce=0.7097, clp=0.0785, con=0.0000, loss=0.7882]
[Train]:   0%|          | 4/962 [00:01<04:58,  3.21it/s, ce=0.7043, clp=0.0810, con=0.0000, loss=0.7853]
[Train]:   1%|          | 5/962 [00:01<04:11,  3.80it/s, ce=0.7043, clp=0.0810, con=0.0000, loss=0.7853]
[Train]:   1%|          | 5/962 [00:02<04:11,  3.80it/s, ce=0.6888, clp=0.0807, con=0.0000, loss=0.7695]
[Train]:   1%|          | 6/962 [00:02<03:53,  4.09it/s, ce=0.6888, clp=0.0807, con=0.0000, loss=0.7695]
[Train]:   1%|          | 6/962 [00:02<03:53,  4.09it/s, ce=0.6975, clp=0.0802, con=0.0000, loss=0.7776]
[Train]:   1%|          | 7/962 [00:02<03:33,  4.47it/s, ce=0.6975, clp=0.0802, con=0.0000, loss=0.7776]
[Train]:   1%|          | 7/962 [00:02<03:33,  4.47it/s, ce=0.6880, clp=0.0779, con=0.0000, loss=0.7659]
[Train]:   1%|          | 8/962 [00:02<03:27,  4.60it/s, ce=0.6880, clp=0.0779, con=0.0000, loss=0.7659]
[Train]:   1%|          | 8/962 [00:02<03:27,  4.60it/s, ce=0.7015, clp=0.0765, con=0.0000, loss=0.7781]
[Train]:   1%|          | 9/962 [00:02<03:15,  4.89it/s, ce=0.7015, clp=0.0765, con=0.0000, loss=0.7781]
[Train]:   1%|          | 9/962 [00:02<03:15,  4.89it/s, ce=0.6989, clp=0.0744, con=0.0000, loss=0.7733]
[Train]:   1%|          | 10/962 [00:02<03:18,  4.79it/s, ce=0.6989, clp=0.0744, con=0.0000, loss=0.7733]
[Train]:   1%|          | 10/962 [00:02<03:18,  4.79it/s, ce=0.7032, clp=0.0759, con=0.0000, loss=0.7791]
[Train]:   1%|          | 11/962 [00:02<03:12,  4.94it/s, ce=0.7032, clp=0.0759, con=0.0000, loss=0.7791]
[Train]:   1%|          | 11/962 [00:03<03:12,  4.94it/s, ce=0.7008, clp=0.0732, con=0.0000, loss=0.7740]
[Train]:   1%|          | 12/962 [00:03<03:14,  4.88it/s, ce=0.7008, clp=0.0732, con=0.0000, loss=0.7740]
[Train]:   1%|          | 12/962 [00:03<03:14,  4.88it/s, ce=0.6954, clp=0.0711, con=0.0000, loss=0.7665]
[Train]:   1%|▏         | 13/962 [00:03<03:07,  5.06it/s, ce=0.6954, clp=0.0711, con=0.0000, loss=0.7665]
[Train]:   1%|▏         | 13/962 [00:03<03:07,  5.06it/s, ce=0.6909, clp=0.0718, con=0.0000, loss=0.7627]
[Train]:   1%|▏         | 14/962 [00:03<03:09,  5.00it/s, ce=0.6909, clp=0.0718, con=0.0000, loss=0.7627]
[Train]:   1%|▏         | 14/962 [00:03<03:09,  5.00it/s, ce=0.6881, clp=0.0734, con=0.0000, loss=0.7615]
[Train]:   2%|▏         | 15/962 [00:03<03:02,  5.18it/s, ce=0.6881, clp=0.0734, con=0.0000, loss=0.7615]
[Train]:   2%|▏         | 15/962 [00:03<03:02,  5.18it/s, ce=0.6903, clp=0.0734, con=0.0000, loss=0.7638]
[Train]:   2%|▏         | 16/962 [00:03<03:10,  4.97it/s, ce=0.6903, clp=0.0734, con=0.0000, loss=0.7638]
[Train]:   2%|▏         | 16/962 [00:04<03:10,  4.97it/s, ce=0.6896, clp=0.0721, con=0.0000, loss=0.7616]
[Train]:   2%|▏         | 17/962 [00:04<03:07,  5.05it/s, ce=0.6896, clp=0.0721, con=0.0000, loss=0.7616]
[Train]:   2%|▏         | 17/962 [00:04<03:07,  5.05it/s, ce=0.6873, clp=0.0715, con=0.0000, loss=0.7588]
[Train]:   2%|▏         | 18/962 [00:04<03:14,  4.84it/s, ce=0.6873, clp=0.0715, con=0.0000, loss=0.7588]
[Train]:   2%|▏         | 18/962 [00:04<03:14,  4.84it/s, ce=0.6891, clp=0.0730, con=0.0000, loss=0.7621]
[Train]:   2%|▏         | 19/962 [00:04<03:07,  5.03it/s, ce=0.6891, clp=0.0730, con=0.0000, loss=0.7621]
[Train]:   2%|▏         | 19/962 [00:04<03:07,  5.03it/s, ce=0.6913, clp=0.0731, con=0.0000, loss=0.7643]
[Train]:   2%|▏         | 20/962 [00:04<03:11,  4.92it/s, ce=0.6913, clp=0.0731, con=0.0000, loss=0.7643]
[Train]:   2%|▏         | 20/962 [00:04<03:11,  4.92it/s, ce=0.6903, clp=0.0720, con=0.0000, loss=0.7623]
[Train]:   2%|▏         | 21/962 [00:04<03:05,  5.07it/s, ce=0.6903, clp=0.0720, con=0.0000, loss=0.7623]
[Train]:   2%|▏         | 21/962 [00:05<03:05,  5.07it/s, ce=0.6904, clp=0.0732, con=0.0000, loss=0.7635]
[Train]:   2%|▏         | 22/962 [00:05<03:09,  4.96it/s, ce=0.6904, clp=0.0732, con=0.0000, loss=0.7635]
[Train]:   2%|▏         | 22/962 [00:05<03:09,  4.96it/s, ce=0.6935, clp=0.0716, con=0.0000, loss=0.7651]
[Train]:   2%|▏         | 23/962 [00:05<03:02,  5.15it/s, ce=0.6935, clp=0.0716, con=0.0000, loss=0.7651]
[Train]:   2%|▏         | 23/962 [00:05<03:02,  5.15it/s, ce=0.6953, clp=0.0710, con=0.0000, loss=0.7663]
[Train]:   2%|▏         | 24/962 [00:05<02:58,  5.26it/s, ce=0.6953, clp=0.0710, con=0.0000, loss=0.7663]
[Train]:   2%|▏         | 24/962 [00:05<02:58,  5.26it/s, ce=0.6947, clp=0.0721, con=0.0000, loss=0.7669]
[Train]:   3%|▎         | 25/962 [00:05<02:54,  5.38it/s, ce=0.6947, clp=0.0721, con=0.0000, loss=0.7669]
[Train]:   3%|▎         | 25/962 [00:05<02:54,  5.38it/s, ce=0.6957, clp=0.0721, con=0.0000, loss=0.7678]
[Train]:   3%|▎         | 26/962 [00:05<03:00,  5.20it/s, ce=0.6957, clp=0.0721, con=0.0000, loss=0.7678]
[Train]:   3%|▎         | 26/962 [00:06<03:00,  5.20it/s, ce=0.6946, clp=0.0725, con=0.0000, loss=0.7670]
[Train]:   3%|▎         | 27/962 [00:06<02:57,  5.27it/s, ce=0.6946, clp=0.0725, con=0.0000, loss=0.7670]
[Train]:   3%|▎         | 27/962 [00:06<02:57,  5.27it/s, ce=0.6936, clp=0.0727, con=0.0000, loss=0.7663]
[Train]:   3%|▎         | 28/962 [00:06<03:01,  5.15it/s, ce=0.6936, clp=0.0727, con=0.0000, loss=0.7663]
