
>>> [1/63] Baseline | toxigen | seed=123
>>> Command: python3 src_script/train/train_causal_fair.py --dataset toxigen --seed 123 --cf_method none --lambda_clp 0.0 --lambda_con 0.0 --epochs 6 --patience 3 --batch_size 16 --grad_accum 2 --lr 2e-5 --max_len 128 --rampup_epochs 0
>>> Start: Sun Mar 15 04:23:05 CST 2026
/root/miniconda/lib/python3.8/site-packages/torchvision/datapoints/__init__.py:12: UserWarning: The torchvision.datapoints and torchvision.transforms.v2 namespaces are still Beta. While we do not expect major breaking changes, some APIs may still change according to user feedback. Please submit any feedback you may have in this issue: https://github.com/pytorch/vision/issues/6753, and you can also check out https://github.com/pytorch/vision/issues/7319 to learn more about the APIs that we suspect might involve future changes. You can silence this warning by calling torchvision.disable_beta_transforms_warning().
  warnings.warn(_BETA_TRANSFORMS_WARNING)
/root/miniconda/lib/python3.8/site-packages/torchvision/transforms/v2/__init__.py:54: UserWarning: The torchvision.datapoints and torchvision.transforms.v2 namespaces are still Beta. While we do not expect major breaking changes, some APIs may still change according to user feedback. Please submit any feedback you may have in this issue: https://github.com/pytorch/vision/issues/6753, and you can also check out https://github.com/pytorch/vision/issues/7319 to learn more about the APIs that we suspect might involve future changes. You can silence this warning by calling torchvision.disable_beta_transforms_warning().
  warnings.warn(_BETA_TRANSFORMS_WARNING)
[Hardware] TF32 acceleration enabled for Ampere+ GPUs.
[Device] cuda
  GPU: NVIDIA GeForce RTX 3090
  显存: 25.3 GB
[Experiment] toxigen_none_clp0.0_con0.0_seed123_0315_0423
[Data] Train: 7168 | Val: 896 | Test: 896
[ClassWeight] [0.8634064 1.187935 ]
[Loss] WeightedCE (ls=0.0)
[Strategy] rampup_epochs=0, fairness loss 线性增长到 epoch 0
[Config] max_len=128, label_smoothing=0.0, ema_decay=0.0
[Val CF] 生成 767 条 swap 反事实 (用于 val CFR 计算)
[Model] /root/lanyun-fs/01nlpchongou/01_nlp_toxicity_classification/models/deberta-v3-base | Params: 184,062,850

============================================================
Epoch 1/6
============================================================

[Train]:   0%|          | 0/448 [00:00<?, ?it/s]
[Train]:   0%|          | 0/448 [00:00<?, ?it/s, ce=0.6885, clp=0.0000, con=0.0000, loss=0.6885]
[Train]:   0%|          | 1/448 [00:00<06:34,  1.13it/s, ce=0.6885, clp=0.0000, con=0.0000, loss=0.6885]
[Train]:   0%|          | 1/448 [00:01<06:34,  1.13it/s, ce=0.6976, clp=0.0000, con=0.0000, loss=0.6976]
[Train]:   0%|          | 2/448 [00:01<03:48,  1.96it/s, ce=0.6976, clp=0.0000, con=0.0000, loss=0.6976]
[Train]:   0%|          | 2/448 [00:01<03:48,  1.96it/s, ce=0.7083, clp=0.0000, con=0.0000, loss=0.7083]
[Train]:   1%|          | 3/448 [00:01<02:33,  2.89it/s, ce=0.7083, clp=0.0000, con=0.0000, loss=0.7083]
[Train]:   1%|          | 3/448 [00:01<02:33,  2.89it/s, ce=0.7041, clp=0.0000, con=0.0000, loss=0.7041]
[Train]:   1%|          | 4/448 [00:01<02:02,  3.63it/s, ce=0.7041, clp=0.0000, con=0.0000, loss=0.7041]
[Train]:   1%|          | 4/448 [00:01<02:02,  3.63it/s, ce=0.7023, clp=0.0000, con=0.0000, loss=0.7023]
[Train]:   1%|          | 5/448 [00:01<01:40,  4.42it/s, ce=0.7023, clp=0.0000, con=0.0000, loss=0.7023]
[Train]:   1%|          | 5/448 [00:01<01:40,  4.42it/s, ce=0.7012, clp=0.0000, con=0.0000, loss=0.7012]
[Train]:   1%|▏         | 6/448 [00:01<01:30,  4.90it/s, ce=0.7012, clp=0.0000, con=0.0000, loss=0.7012]
[Train]:   1%|▏         | 6/448 [00:01<01:30,  4.90it/s, ce=0.7003, clp=0.0000, con=0.0000, loss=0.7003]
[Train]:   2%|▏         | 7/448 [00:01<01:21,  5.40it/s, ce=0.7003, clp=0.0000, con=0.0000, loss=0.7003]
[Train]:   2%|▏         | 7/448 [00:02<01:21,  5.40it/s, ce=0.6948, clp=0.0000, con=0.0000, loss=0.6948]
[Train]:   2%|▏         | 8/448 [00:02<01:19,  5.51it/s, ce=0.6948, clp=0.0000, con=0.0000, loss=0.6948]
[Train]:   2%|▏         | 8/448 [00:02<01:19,  5.51it/s, ce=0.6942, clp=0.0000, con=0.0000, loss=0.6942]
[Train]:   2%|▏         | 9/448 [00:02<01:15,  5.79it/s, ce=0.6942, clp=0.0000, con=0.0000, loss=0.6942]
[Train]:   2%|▏         | 9/448 [00:02<01:15,  5.79it/s, ce=0.6947, clp=0.0000, con=0.0000, loss=0.6947]
[Train]:   2%|▏         | 10/448 [00:02<01:16,  5.76it/s, ce=0.6947, clp=0.0000, con=0.0000, loss=0.6947]
[Train]:   2%|▏         | 10/448 [00:02<01:16,  5.76it/s, ce=0.6912, clp=0.0000, con=0.0000, loss=0.6912]
[Train]:   2%|▏         | 11/448 [00:02<01:11,  6.08it/s, ce=0.6912, clp=0.0000, con=0.0000, loss=0.6912]
[Train]:   2%|▏         | 11/448 [00:02<01:11,  6.08it/s, ce=0.6889, clp=0.0000, con=0.0000, loss=0.6889]
[Train]:   3%|▎         | 12/448 [00:02<01:12,  6.00it/s, ce=0.6889, clp=0.0000, con=0.0000, loss=0.6889]
[Train]:   3%|▎         | 12/448 [00:02<01:12,  6.00it/s, ce=0.6873, clp=0.0000, con=0.0000, loss=0.6873]
[Train]:   3%|▎         | 13/448 [00:02<01:11,  6.12it/s, ce=0.6873, clp=0.0000, con=0.0000, loss=0.6873]
[Train]:   3%|▎         | 13/448 [00:03<01:11,  6.12it/s, ce=0.6880, clp=0.0000, con=0.0000, loss=0.6880]
[Train]:   3%|▎         | 14/448 [00:03<01:13,  5.91it/s, ce=0.6880, clp=0.0000, con=0.0000, loss=0.6880]
[Train]:   3%|▎         | 14/448 [00:03<01:13,  5.91it/s, ce=0.6930, clp=0.0000, con=0.0000, loss=0.6930]
[Train]:   3%|▎         | 15/448 [00:03<01:11,  6.03it/s, ce=0.6930, clp=0.0000, con=0.0000, loss=0.6930]
[Train]:   3%|▎         | 15/448 [00:03<01:11,  6.03it/s, ce=0.6925, clp=0.0000, con=0.0000, loss=0.6925]
[Train]:   4%|▎         | 16/448 [00:03<01:12,  5.97it/s, ce=0.6925, clp=0.0000, con=0.0000, loss=0.6925]
[Train]:   4%|▎         | 16/448 [00:03<01:12,  5.97it/s, ce=0.6912, clp=0.0000, con=0.0000, loss=0.6912]
[Train]:   4%|▍         | 17/448 [00:03<01:09,  6.24it/s, ce=0.6912, clp=0.0000, con=0.0000, loss=0.6912]
[Train]:   4%|▍         | 17/448 [00:03<01:09,  6.24it/s, ce=0.6915, clp=0.0000, con=0.0000, loss=0.6915]
[Train]:   4%|▍         | 18/448 [00:03<01:08,  6.30it/s, ce=0.6915, clp=0.0000, con=0.0000, loss=0.6915]
[Train]:   4%|▍         | 18/448 [00:03<01:08,  6.30it/s, ce=0.6892, clp=0.0000, con=0.0000, loss=0.6892]
[Train]:   4%|▍         | 19/448 [00:03<01:04,  6.69it/s, ce=0.6892, clp=0.0000, con=0.0000, loss=0.6892]
[Train]:   4%|▍         | 19/448 [00:03<01:04,  6.69it/s, ce=0.6893, clp=0.0000, con=0.0000, loss=0.6893]
[Train]:   4%|▍         | 20/448 [00:03<01:05,  6.58it/s, ce=0.6893, clp=0.0000, con=0.0000, loss=0.6893]
[Train]:   4%|▍         | 20/448 [00:04<01:05,  6.58it/s, ce=0.6914, clp=0.0000, con=0.0000, loss=0.6914]
[Train]:   5%|▍         | 21/448 [00:04<01:03,  6.70it/s, ce=0.6914, clp=0.0000, con=0.0000, loss=0.6914]
[Train]:   5%|▍         | 21/448 [00:04<01:03,  6.70it/s, ce=0.6917, clp=0.0000, con=0.0000, loss=0.6917]
[Train]:   5%|▍         | 22/448 [00:04<01:04,  6.62it/s, ce=0.6917, clp=0.0000, con=0.0000, loss=0.6917]
[Train]:   5%|▍         | 22/448 [00:04<01:04,  6.62it/s, ce=0.6909, clp=0.0000, con=0.0000, loss=0.6909]
[Train]:   5%|▌         | 23/448 [00:04<01:01,  6.95it/s, ce=0.6909, clp=0.0000, con=0.0000, loss=0.6909]
[Train]:   5%|▌         | 23/448 [00:04<01:01,  6.95it/s, ce=0.6931, clp=0.0000, con=0.0000, loss=0.6931]
[Train]:   5%|▌         | 24/448 [00:04<01:02,  6.82it/s, ce=0.6931, clp=0.0000, con=0.0000, loss=0.6931]
[Train]:   5%|▌         | 24/448 [00:04<01:02,  6.82it/s, ce=0.6933, clp=0.0000, con=0.0000, loss=0.6933]
[Train]:   6%|▌         | 25/448 [00:04<00:59,  7.11it/s, ce=0.6933, clp=0.0000, con=0.0000, loss=0.6933]
[Train]:   6%|▌         | 25/448 [00:04<00:59,  7.11it/s, ce=0.6934, clp=0.0000, con=0.0000, loss=0.6934]
[Train]:   6%|▌         | 26/448 [00:04<01:01,  6.86it/s, ce=0.6934, clp=0.0000, con=0.0000, loss=0.6934]
[Train]:   6%|▌         | 26/448 [00:04<01:01,  6.86it/s, ce=0.6957, clp=0.0000, con=0.0000, loss=0.6957]
[Train]:   6%|▌         | 27/448 [00:04<01:00,  6.98it/s, ce=0.6957, clp=0.0000, con=0.0000, loss=0.6957]
[Train]:   6%|▌         | 27/448 [00:05<01:00,  6.98it/s, ce=0.6956, clp=0.0000, con=0.0000, loss=0.6956]
[Train]:   6%|▋         | 28/448 [00:05<01:02,  6.74it/s, ce=0.6956, clp=0.0000, con=0.0000, loss=0.6956]
[Train]:   6%|▋         | 28/448 [00:05<01:02,  6.74it/s, ce=0.6955, clp=0.0000, con=0.0000, loss=0.6955]
[Train]:   6%|▋         | 29/448 [00:05<00:59,  7.03it/s, ce=0.6955, clp=0.0000, con=0.0000, loss=0.6955]
[Train]:   6%|▋         | 29/448 [00:05<00:59,  7.03it/s, ce=0.6950, clp=0.0000, con=0.0000, loss=0.6950]
[Train]:   7%|▋         | 30/448 [00:05<01:00,  6.86it/s, ce=0.6950, clp=0.0000, con=0.0000, loss=0.6950]
[Train]:   7%|▋         | 30/448 [00:05<01:00,  6.86it/s, ce=0.6942, clp=0.0000, con=0.0000, loss=0.6942]
[Train]:   7%|▋         | 31/448 [00:05<00:58,  7.15it/s, ce=0.6942, clp=0.0000, con=0.0000, loss=0.6942]
[Train]:   7%|▋         | 31/448 [00:05<00:58,  7.15it/s, ce=0.6957, clp=0.0000, con=0.0000, loss=0.6957]
[Train]:   7%|▋         | 32/448 [00:05<00:59,  6.95it/s, ce=0.6957, clp=0.0000, con=0.0000, loss=0.6957]
[Train]:   7%|▋         | 32/448 [00:05<00:59,  6.95it/s, ce=0.6957, clp=0.0000, con=0.0000, loss=0.6957]
