/root/miniconda/lib/python3.8/site-packages/torchvision/datapoints/__init__.py:12: UserWarning: The torchvision.datapoints and torchvision.transforms.v2 namespaces are still Beta. While we do not expect major breaking changes, some APIs may still change according to user feedback. Please submit any feedback you may have in this issue: https://github.com/pytorch/vision/issues/6753, and you can also check out https://github.com/pytorch/vision/issues/7319 to learn more about the APIs that we suspect might involve future changes. You can silence this warning by calling torchvision.disable_beta_transforms_warning().
  warnings.warn(_BETA_TRANSFORMS_WARNING)
/root/miniconda/lib/python3.8/site-packages/torchvision/transforms/v2/__init__.py:54: UserWarning: The torchvision.datapoints and torchvision.transforms.v2 namespaces are still Beta. While we do not expect major breaking changes, some APIs may still change according to user feedback. Please submit any feedback you may have in this issue: https://github.com/pytorch/vision/issues/6753, and you can also check out https://github.com/pytorch/vision/issues/7319 to learn more about the APIs that we suspect might involve future changes. You can silence this warning by calling torchvision.disable_beta_transforms_warning().
  warnings.warn(_BETA_TRANSFORMS_WARNING)
[Hardware] TF32 acceleration enabled for Ampere+ GPUs.
[Device] cuda
  GPU: NVIDIA GeForce RTX 3090
  显存: 25.3 GB
[Experiment] toxigen_swap_clp0.0_con0.0_seed2024_0315_2059
[Data] Train: 7168 | Val: 896 | Test: 896
[CF] 加载 12548 条反事实 (swap)
[ClassWeight] [0.8634064 1.187935 ]
[Loss] WeightedCE (ls=0.0)
[Strategy] rampup_epochs=0, fairness loss 线性增长到 epoch 0
[Config] max_len=128, label_smoothing=0.0, ema_decay=0.0
[Val CF] 生成 767 条 swap 反事实 (用于 val CFR 计算)
[Model] /root/lanyun-fs/01nlpchongou/01_nlp_toxicity_classification/models/deberta-v3-base | Params: 184,062,850

============================================================
Epoch 1/6
============================================================

[Train]:   0%|          | 0/448 [00:00<?, ?it/s]
[Train]:   0%|          | 0/448 [00:01<?, ?it/s, ce=0.7366, clp=0.0000, con=0.0000, loss=0.7366]
[Train]:   0%|          | 1/448 [00:01<07:40,  1.03s/it, ce=0.7366, clp=0.0000, con=0.0000, loss=0.7366]
[Train]:   0%|          | 1/448 [00:01<07:40,  1.03s/it, ce=0.7493, clp=0.0000, con=0.0000, loss=0.7493]
[Train]:   0%|          | 2/448 [00:01<04:17,  1.74it/s, ce=0.7493, clp=0.0000, con=0.0000, loss=0.7493]
[Train]:   0%|          | 2/448 [00:01<04:17,  1.74it/s, ce=0.7414, clp=0.0000, con=0.0000, loss=0.7414]
[Train]:   1%|          | 3/448 [00:01<03:02,  2.43it/s, ce=0.7414, clp=0.0000, con=0.0000, loss=0.7414]
[Train]:   1%|          | 3/448 [00:01<03:02,  2.43it/s, ce=0.7442, clp=0.0000, con=0.0000, loss=0.7442]
[Train]:   1%|          | 4/448 [00:01<02:25,  3.05it/s, ce=0.7442, clp=0.0000, con=0.0000, loss=0.7442]
[Train]:   1%|          | 4/448 [00:01<02:25,  3.05it/s, ce=0.7345, clp=0.0000, con=0.0000, loss=0.7345]
[Train]:   1%|          | 5/448 [00:01<02:02,  3.62it/s, ce=0.7345, clp=0.0000, con=0.0000, loss=0.7345]
[Train]:   1%|          | 5/448 [00:02<02:02,  3.62it/s, ce=0.7356, clp=0.0000, con=0.0000, loss=0.7356]
[Train]:   1%|▏         | 6/448 [00:02<01:54,  3.87it/s, ce=0.7356, clp=0.0000, con=0.0000, loss=0.7356]
[Train]:   1%|▏         | 6/448 [00:02<01:54,  3.87it/s, ce=0.7270, clp=0.0000, con=0.0000, loss=0.7270]
[Train]:   2%|▏         | 7/448 [00:02<01:42,  4.28it/s, ce=0.7270, clp=0.0000, con=0.0000, loss=0.7270]
[Train]:   2%|▏         | 7/448 [00:02<01:42,  4.28it/s, ce=0.7151, clp=0.0000, con=0.0000, loss=0.7151]
[Train]:   2%|▏         | 8/448 [00:02<01:41,  4.32it/s, ce=0.7151, clp=0.0000, con=0.0000, loss=0.7151]
[Train]:   2%|▏         | 8/448 [00:02<01:41,  4.32it/s, ce=0.7098, clp=0.0000, con=0.0000, loss=0.7098]
[Train]:   2%|▏         | 9/448 [00:02<01:35,  4.61it/s, ce=0.7098, clp=0.0000, con=0.0000, loss=0.7098]
[Train]:   2%|▏         | 9/448 [00:02<01:35,  4.61it/s, ce=0.7074, clp=0.0000, con=0.0000, loss=0.7074]
[Train]:   2%|▏         | 10/448 [00:02<01:35,  4.59it/s, ce=0.7074, clp=0.0000, con=0.0000, loss=0.7074]
[Train]:   2%|▏         | 10/448 [00:03<01:35,  4.59it/s, ce=0.7127, clp=0.0000, con=0.0000, loss=0.7127]
[Train]:   2%|▏         | 11/448 [00:03<01:31,  4.75it/s, ce=0.7127, clp=0.0000, con=0.0000, loss=0.7127]
[Train]:   2%|▏         | 11/448 [00:03<01:31,  4.75it/s, ce=0.7109, clp=0.0000, con=0.0000, loss=0.7109]
[Train]:   3%|▎         | 12/448 [00:03<01:36,  4.53it/s, ce=0.7109, clp=0.0000, con=0.0000, loss=0.7109]
[Train]:   3%|▎         | 12/448 [00:03<01:36,  4.53it/s, ce=0.7065, clp=0.0000, con=0.0000, loss=0.7065]
[Train]:   3%|▎         | 13/448 [00:03<01:31,  4.77it/s, ce=0.7065, clp=0.0000, con=0.0000, loss=0.7065]
[Train]:   3%|▎         | 13/448 [00:03<01:31,  4.77it/s, ce=0.7062, clp=0.0000, con=0.0000, loss=0.7062]
[Train]:   3%|▎         | 14/448 [00:03<01:31,  4.75it/s, ce=0.7062, clp=0.0000, con=0.0000, loss=0.7062]
[Train]:   3%|▎         | 14/448 [00:03<01:31,  4.75it/s, ce=0.7084, clp=0.0000, con=0.0000, loss=0.7084]
[Train]:   3%|▎         | 15/448 [00:03<01:27,  4.95it/s, ce=0.7084, clp=0.0000, con=0.0000, loss=0.7084]
[Train]:   3%|▎         | 15/448 [00:04<01:27,  4.95it/s, ce=0.7072, clp=0.0000, con=0.0000, loss=0.7072]
[Train]:   4%|▎         | 16/448 [00:04<01:30,  4.76it/s, ce=0.7072, clp=0.0000, con=0.0000, loss=0.7072]
[Train]:   4%|▎         | 16/448 [00:04<01:30,  4.76it/s, ce=0.7086, clp=0.0000, con=0.0000, loss=0.7086]
[Train]:   4%|▍         | 17/448 [00:04<01:28,  4.89it/s, ce=0.7086, clp=0.0000, con=0.0000, loss=0.7086]
[Train]:   4%|▍         | 17/448 [00:04<01:28,  4.89it/s, ce=0.7061, clp=0.0000, con=0.0000, loss=0.7061]
[Train]:   4%|▍         | 18/448 [00:04<01:27,  4.92it/s, ce=0.7061, clp=0.0000, con=0.0000, loss=0.7061]
[Train]:   4%|▍         | 18/448 [00:04<01:27,  4.92it/s, ce=0.7013, clp=0.0000, con=0.0000, loss=0.7013]
[Train]:   4%|▍         | 19/448 [00:04<01:23,  5.16it/s, ce=0.7013, clp=0.0000, con=0.0000, loss=0.7013]
[Train]:   4%|▍         | 19/448 [00:04<01:23,  5.16it/s, ce=0.7028, clp=0.0000, con=0.0000, loss=0.7028]
[Train]:   4%|▍         | 20/448 [00:04<01:25,  5.03it/s, ce=0.7028, clp=0.0000, con=0.0000, loss=0.7028]
[Train]:   4%|▍         | 20/448 [00:05<01:25,  5.03it/s, ce=0.7030, clp=0.0000, con=0.0000, loss=0.7030]
[Train]:   5%|▍         | 21/448 [00:05<01:22,  5.21it/s, ce=0.7030, clp=0.0000, con=0.0000, loss=0.7030]
[Train]:   5%|▍         | 21/448 [00:05<01:22,  5.21it/s, ce=0.7032, clp=0.0000, con=0.0000, loss=0.7032]
[Train]:   5%|▍         | 22/448 [00:05<01:24,  5.04it/s, ce=0.7032, clp=0.0000, con=0.0000, loss=0.7032]
[Train]:   5%|▍         | 22/448 [00:05<01:24,  5.04it/s, ce=0.7029, clp=0.0000, con=0.0000, loss=0.7029]
[Train]:   5%|▌         | 23/448 [00:05<01:21,  5.20it/s, ce=0.7029, clp=0.0000, con=0.0000, loss=0.7029]
[Train]:   5%|▌         | 23/448 [00:05<01:21,  5.20it/s, ce=0.7012, clp=0.0000, con=0.0000, loss=0.7012]
[Train]:   5%|▌         | 24/448 [00:05<01:22,  5.14it/s, ce=0.7012, clp=0.0000, con=0.0000, loss=0.7012]
[Train]:   5%|▌         | 24/448 [00:05<01:22,  5.14it/s, ce=0.7001, clp=0.0000, con=0.0000, loss=0.7001]
[Train]:   6%|▌         | 25/448 [00:05<01:18,  5.36it/s, ce=0.7001, clp=0.0000, con=0.0000, loss=0.7001]
[Train]:   6%|▌         | 25/448 [00:06<01:18,  5.36it/s, ce=0.7021, clp=0.0000, con=0.0000, loss=0.7021]
[Train]:   6%|▌         | 26/448 [00:06<01:20,  5.25it/s, ce=0.7021, clp=0.0000, con=0.0000, loss=0.7021]
[Train]:   6%|▌         | 26/448 [00:06<01:20,  5.25it/s, ce=0.7030, clp=0.0000, con=0.0000, loss=0.7030]
[Train]:   6%|▌         | 27/448 [00:06<01:19,  5.30it/s, ce=0.7030, clp=0.0000, con=0.0000, loss=0.7030]
[Train]:   6%|▌         | 27/448 [00:06<01:19,  5.30it/s, ce=0.7039, clp=0.0000, con=0.0000, loss=0.7039]
[Train]:   6%|▋         | 28/448 [00:06<01:20,  5.22it/s, ce=0.7039, clp=0.0000, con=0.0000, loss=0.7039]
