
>>> [1/63] EAR | toxigen | seed=2024
>>> Command: python3 src_script/train/train_baseline_ear.py --dataset toxigen --seed 2024 --lambda_ear 0.1 --epochs 6 --patience 3 --batch_size 16 --grad_accum 2 --lr 2e-5 --max_len 128
>>> Start: Sun Mar 15 05:06:54 CST 2026
/root/miniconda/lib/python3.8/site-packages/torchvision/datapoints/__init__.py:12: UserWarning: The torchvision.datapoints and torchvision.transforms.v2 namespaces are still Beta. While we do not expect major breaking changes, some APIs may still change according to user feedback. Please submit any feedback you may have in this issue: https://github.com/pytorch/vision/issues/6753, and you can also check out https://github.com/pytorch/vision/issues/7319 to learn more about the APIs that we suspect might involve future changes. You can silence this warning by calling torchvision.disable_beta_transforms_warning().
  warnings.warn(_BETA_TRANSFORMS_WARNING)
/root/miniconda/lib/python3.8/site-packages/torchvision/transforms/v2/__init__.py:54: UserWarning: The torchvision.datapoints and torchvision.transforms.v2 namespaces are still Beta. While we do not expect major breaking changes, some APIs may still change according to user feedback. Please submit any feedback you may have in this issue: https://github.com/pytorch/vision/issues/6753, and you can also check out https://github.com/pytorch/vision/issues/7319 to learn more about the APIs that we suspect might involve future changes. You can silence this warning by calling torchvision.disable_beta_transforms_warning().
  warnings.warn(_BETA_TRANSFORMS_WARNING)
[Hardware] TF32 acceleration enabled for Ampere+ GPUs.
[Experiment] EAR_toxigen_seed2024_0315_0506
[Data] Train: 7168 | Val: 896 | Test: 896
[Model] EAR | lambda_ear=0.1

Epoch 1/6

[Train]:   0%|          | 0/448 [00:00<?, ?it/s]
[Train]:   0%|          | 0/448 [00:00<?, ?it/s, ce=0.6757, ear=-1.9825, loss=0.4775]
[Train]:   0%|          | 1/448 [00:00<05:59,  1.24it/s, ce=0.6757, ear=-1.9825, loss=0.4775]
[Train]:   0%|          | 1/448 [00:00<05:59,  1.24it/s, ce=0.6399, ear=-1.9534, loss=0.4446]
[Train]:   0%|          | 2/448 [00:00<03:05,  2.40it/s, ce=0.6399, ear=-1.9534, loss=0.4446]
[Train]:   0%|          | 2/448 [00:01<03:05,  2.40it/s, ce=0.6558, ear=-1.9065, loss=0.4652]
[Train]:   0%|          | 2/448 [00:01<03:05,  2.40it/s, ce=0.6712, ear=-1.9277, loss=0.4784]
[Train]:   1%|          | 4/448 [00:01<01:35,  4.65it/s, ce=0.6712, ear=-1.9277, loss=0.4784]
[Train]:   1%|          | 4/448 [00:01<01:35,  4.65it/s, ce=0.6897, ear=-1.9107, loss=0.4986]
[Train]:   1%|          | 4/448 [00:01<01:35,  4.65it/s, ce=0.6946, ear=-1.9259, loss=0.5020]
[Train]:   1%|▏         | 6/448 [00:01<01:10,  6.31it/s, ce=0.6946, ear=-1.9259, loss=0.5020]
[Train]:   1%|▏         | 6/448 [00:01<01:10,  6.31it/s, ce=0.6915, ear=-1.9330, loss=0.4982]
[Train]:   1%|▏         | 6/448 [00:01<01:10,  6.31it/s, ce=0.6828, ear=-1.9397, loss=0.4888]
[Train]:   2%|▏         | 8/448 [00:01<00:58,  7.54it/s, ce=0.6828, ear=-1.9397, loss=0.4888]
