/root/miniconda/lib/python3.8/site-packages/torchvision/datapoints/__init__.py:12: UserWarning: The torchvision.datapoints and torchvision.transforms.v2 namespaces are still Beta. While we do not expect major breaking changes, some APIs may still change according to user feedback. Please submit any feedback you may have in this issue: https://github.com/pytorch/vision/issues/6753, and you can also check out https://github.com/pytorch/vision/issues/7319 to learn more about the APIs that we suspect might involve future changes. You can silence this warning by calling torchvision.disable_beta_transforms_warning().
  warnings.warn(_BETA_TRANSFORMS_WARNING)
/root/miniconda/lib/python3.8/site-packages/torchvision/transforms/v2/__init__.py:54: UserWarning: The torchvision.datapoints and torchvision.transforms.v2 namespaces are still Beta. While we do not expect major breaking changes, some APIs may still change according to user feedback. Please submit any feedback you may have in this issue: https://github.com/pytorch/vision/issues/6753, and you can also check out https://github.com/pytorch/vision/issues/7319 to learn more about the APIs that we suspect might involve future changes. You can silence this warning by calling torchvision.disable_beta_transforms_warning().
  warnings.warn(_BETA_TRANSFORMS_WARNING)
[Hardware] TF32 acceleration enabled for Ampere+ GPUs.
[Device] cuda
  GPU: NVIDIA GeForce RTX 3090
  显存: 25.3 GB
[Experiment] dynahate_llm_clp1.0_con0.0_seed123_0315_2250
[Data] Train: 8844 | Val: 1091 | Test: 1111
[CF] 加载 7254 条反事实 (llm)
[ClassWeight] [1.3923174  0.78016937]
[Loss] WeightedCE (ls=0.0)
[Strategy] rampup_epochs=0, fairness loss 线性增长到 epoch 0
[Config] max_len=128, label_smoothing=0.0, ema_decay=0.0
[Val CF] 生成 713 条 swap 反事实 (用于 val CFR 计算)
[Model] /root/lanyun-fs/01nlpchongou/01_nlp_toxicity_classification/models/deberta-v3-base | Params: 184,062,850

============================================================
Epoch 1/6
============================================================

[Train]:   0%|          | 0/553 [00:00<?, ?it/s]
[Train]:   0%|          | 0/553 [00:00<?, ?it/s, ce=0.6986, clp=0.0773, con=0.0000, loss=0.7759]
[Train]:   0%|          | 1/553 [00:00<08:59,  1.02it/s, ce=0.6986, clp=0.0773, con=0.0000, loss=0.7759]
[Train]:   0%|          | 1/553 [00:01<08:59,  1.02it/s, ce=0.7081, clp=0.0697, con=0.0000, loss=0.7778]
[Train]:   0%|          | 2/553 [00:01<04:58,  1.85it/s, ce=0.7081, clp=0.0697, con=0.0000, loss=0.7778]
[Train]:   0%|          | 2/553 [00:01<04:58,  1.85it/s, ce=0.7089, clp=0.0769, con=0.0000, loss=0.7857]
[Train]:   1%|          | 3/553 [00:01<03:29,  2.62it/s, ce=0.7089, clp=0.0769, con=0.0000, loss=0.7857]
[Train]:   1%|          | 3/553 [00:01<03:29,  2.62it/s, ce=0.7103, clp=0.0697, con=0.0000, loss=0.7801]
[Train]:   1%|          | 4/553 [00:01<02:46,  3.30it/s, ce=0.7103, clp=0.0697, con=0.0000, loss=0.7801]
[Train]:   1%|          | 4/553 [00:01<02:46,  3.30it/s, ce=0.7019, clp=0.0685, con=0.0000, loss=0.7705]
[Train]:   1%|          | 5/553 [00:01<02:17,  3.98it/s, ce=0.7019, clp=0.0685, con=0.0000, loss=0.7705]
[Train]:   1%|          | 5/553 [00:01<02:17,  3.98it/s, ce=0.6958, clp=0.0652, con=0.0000, loss=0.7610]
[Train]:   1%|          | 6/553 [00:01<02:05,  4.36it/s, ce=0.6958, clp=0.0652, con=0.0000, loss=0.7610]
[Train]:   1%|          | 6/553 [00:02<02:05,  4.36it/s, ce=0.7067, clp=0.0663, con=0.0000, loss=0.7730]
[Train]:   1%|▏         | 7/553 [00:02<01:52,  4.84it/s, ce=0.7067, clp=0.0663, con=0.0000, loss=0.7730]
[Train]:   1%|▏         | 7/553 [00:02<01:52,  4.84it/s, ce=0.7017, clp=0.0662, con=0.0000, loss=0.7679]
[Train]:   1%|▏         | 8/553 [00:02<01:52,  4.86it/s, ce=0.7017, clp=0.0662, con=0.0000, loss=0.7679]
[Train]:   1%|▏         | 8/553 [00:02<01:52,  4.86it/s, ce=0.6997, clp=0.0672, con=0.0000, loss=0.7669]
[Train]:   2%|▏         | 9/553 [00:02<01:48,  5.00it/s, ce=0.6997, clp=0.0672, con=0.0000, loss=0.7669]
[Train]:   2%|▏         | 9/553 [00:02<01:48,  5.00it/s, ce=0.6959, clp=0.0680, con=0.0000, loss=0.7640]
[Train]:   2%|▏         | 10/553 [00:02<01:47,  5.03it/s, ce=0.6959, clp=0.0680, con=0.0000, loss=0.7640]
[Train]:   2%|▏         | 10/553 [00:02<01:47,  5.03it/s, ce=0.6976, clp=0.0705, con=0.0000, loss=0.7681]
[Train]:   2%|▏         | 11/553 [00:02<01:41,  5.36it/s, ce=0.6976, clp=0.0705, con=0.0000, loss=0.7681]
[Train]:   2%|▏         | 11/553 [00:03<01:41,  5.36it/s, ce=0.6984, clp=0.0715, con=0.0000, loss=0.7699]
[Train]:   2%|▏         | 12/553 [00:03<01:39,  5.42it/s, ce=0.6984, clp=0.0715, con=0.0000, loss=0.7699]
[Train]:   2%|▏         | 12/553 [00:03<01:39,  5.42it/s, ce=0.7036, clp=0.0698, con=0.0000, loss=0.7734]
[Train]:   2%|▏         | 13/553 [00:03<01:35,  5.64it/s, ce=0.7036, clp=0.0698, con=0.0000, loss=0.7734]
[Train]:   2%|▏         | 13/553 [00:03<01:35,  5.64it/s, ce=0.7053, clp=0.0736, con=0.0000, loss=0.7789]
[Train]:   3%|▎         | 14/553 [00:03<01:39,  5.42it/s, ce=0.7053, clp=0.0736, con=0.0000, loss=0.7789]
[Train]:   3%|▎         | 14/553 [00:03<01:39,  5.42it/s, ce=0.7045, clp=0.0755, con=0.0000, loss=0.7800]
[Train]:   3%|▎         | 15/553 [00:03<01:38,  5.48it/s, ce=0.7045, clp=0.0755, con=0.0000, loss=0.7800]
[Train]:   3%|▎         | 15/553 [00:03<01:38,  5.48it/s, ce=0.7001, clp=0.0754, con=0.0000, loss=0.7755]
[Train]:   3%|▎         | 16/553 [00:03<01:39,  5.41it/s, ce=0.7001, clp=0.0754, con=0.0000, loss=0.7755]
[Train]:   3%|▎         | 16/553 [00:03<01:39,  5.41it/s, ce=0.6996, clp=0.0739, con=0.0000, loss=0.7735]
[Train]:   3%|▎         | 17/553 [00:03<01:34,  5.64it/s, ce=0.6996, clp=0.0739, con=0.0000, loss=0.7735]
[Train]:   3%|▎         | 17/553 [00:04<01:34,  5.64it/s, ce=0.6986, clp=0.0723, con=0.0000, loss=0.7709]
[Train]:   3%|▎         | 18/553 [00:04<01:35,  5.61it/s, ce=0.6986, clp=0.0723, con=0.0000, loss=0.7709]
[Train]:   3%|▎         | 18/553 [00:04<01:35,  5.61it/s, ce=0.6982, clp=0.0722, con=0.0000, loss=0.7704]
[Train]:   3%|▎         | 19/553 [00:04<01:32,  5.78it/s, ce=0.6982, clp=0.0722, con=0.0000, loss=0.7704]
[Train]:   3%|▎         | 19/553 [00:04<01:32,  5.78it/s, ce=0.6993, clp=0.0738, con=0.0000, loss=0.7731]
[Train]:   4%|▎         | 20/553 [00:04<01:37,  5.47it/s, ce=0.6993, clp=0.0738, con=0.0000, loss=0.7731]
[Train]:   4%|▎         | 20/553 [00:04<01:37,  5.47it/s, ce=0.6994, clp=0.0736, con=0.0000, loss=0.7730]
[Train]:   4%|▍         | 21/553 [00:04<01:38,  5.42it/s, ce=0.6994, clp=0.0736, con=0.0000, loss=0.7730]
[Train]:   4%|▍         | 21/553 [00:04<01:38,  5.42it/s, ce=0.7007, clp=0.0728, con=0.0000, loss=0.7735]
[Train]:   4%|▍         | 22/553 [00:04<01:39,  5.31it/s, ce=0.7007, clp=0.0728, con=0.0000, loss=0.7735]
[Train]:   4%|▍         | 22/553 [00:04<01:39,  5.31it/s, ce=0.6998, clp=0.0743, con=0.0000, loss=0.7741]
[Train]:   4%|▍         | 23/553 [00:04<01:34,  5.61it/s, ce=0.6998, clp=0.0743, con=0.0000, loss=0.7741]
[Train]:   4%|▍         | 23/553 [00:05<01:34,  5.61it/s, ce=0.7024, clp=0.0750, con=0.0000, loss=0.7774]
[Train]:   4%|▍         | 24/553 [00:05<01:34,  5.61it/s, ce=0.7024, clp=0.0750, con=0.0000, loss=0.7774]
[Train]:   4%|▍         | 24/553 [00:05<01:34,  5.61it/s, ce=0.7028, clp=0.0751, con=0.0000, loss=0.7779]
[Train]:   5%|▍         | 25/553 [00:05<01:30,  5.84it/s, ce=0.7028, clp=0.0751, con=0.0000, loss=0.7779]
[Train]:   5%|▍         | 25/553 [00:05<01:30,  5.84it/s, ce=0.7027, clp=0.0763, con=0.0000, loss=0.7790]
[Train]:   5%|▍         | 26/553 [00:05<01:34,  5.59it/s, ce=0.7027, clp=0.0763, con=0.0000, loss=0.7790]
[Train]:   5%|▍         | 26/553 [00:05<01:34,  5.59it/s, ce=0.7039, clp=0.0772, con=0.0000, loss=0.7811]
[Train]:   5%|▍         | 27/553 [00:05<01:33,  5.63it/s, ce=0.7039, clp=0.0772, con=0.0000, loss=0.7811]
[Train]:   5%|▍         | 27/553 [00:05<01:33,  5.63it/s, ce=0.7058, clp=0.0760, con=0.0000, loss=0.7819]
[Train]:   5%|▌         | 28/553 [00:05<01:35,  5.50it/s, ce=0.7058, clp=0.0760, con=0.0000, loss=0.7819]
