/root/miniconda/lib/python3.8/site-packages/torchvision/datapoints/__init__.py:12: UserWarning: The torchvision.datapoints and torchvision.transforms.v2 namespaces are still Beta. While we do not expect major breaking changes, some APIs may still change according to user feedback. Please submit any feedback you may have in this issue: https://github.com/pytorch/vision/issues/6753, and you can also check out https://github.com/pytorch/vision/issues/7319 to learn more about the APIs that we suspect might involve future changes. You can silence this warning by calling torchvision.disable_beta_transforms_warning().
  warnings.warn(_BETA_TRANSFORMS_WARNING)
/root/miniconda/lib/python3.8/site-packages/torchvision/transforms/v2/__init__.py:54: UserWarning: The torchvision.datapoints and torchvision.transforms.v2 namespaces are still Beta. While we do not expect major breaking changes, some APIs may still change according to user feedback. Please submit any feedback you may have in this issue: https://github.com/pytorch/vision/issues/6753, and you can also check out https://github.com/pytorch/vision/issues/7319 to learn more about the APIs that we suspect might involve future changes. You can silence this warning by calling torchvision.disable_beta_transforms_warning().
  warnings.warn(_BETA_TRANSFORMS_WARNING)
[Hardware] TF32 acceleration enabled for Ampere+ GPUs.
[Device] cuda
  GPU: NVIDIA GeForce RTX 3090
  显存: 25.3 GB
[Experiment] hatexplain_llm_clp1.0_con0.0_seed42_0315_1709
[Data] Train: 15383 | Val: 1922 | Test: 1924
[CF] 加载 22133 条反事实 (llm)
[ClassWeight] [1.2304431 0.842258 ]
[Loss] WeightedCE (ls=0.0)
[Strategy] rampup_epochs=0, fairness loss 线性增长到 epoch 0
[Config] max_len=128, label_smoothing=0.0, ema_decay=0.0
[Val CF] 生成 1647 条 swap 反事实 (用于 val CFR 计算)
[Model] /root/lanyun-fs/01nlpchongou/01_nlp_toxicity_classification/models/deberta-v3-base | Params: 184,062,850

============================================================
Epoch 1/6
============================================================

[Train]:   0%|          | 0/962 [00:00<?, ?it/s]
[Train]:   0%|          | 0/962 [00:01<?, ?it/s, ce=0.7909, clp=0.0688, con=0.0000, loss=0.8597]
[Train]:   0%|          | 1/962 [00:01<16:33,  1.03s/it, ce=0.7909, clp=0.0688, con=0.0000, loss=0.8597]
[Train]:   0%|          | 1/962 [00:01<16:33,  1.03s/it, ce=0.7450, clp=0.0571, con=0.0000, loss=0.8021]
[Train]:   0%|          | 2/962 [00:01<08:32,  1.87it/s, ce=0.7450, clp=0.0571, con=0.0000, loss=0.8021]
[Train]:   0%|          | 2/962 [00:01<08:32,  1.87it/s, ce=0.7621, clp=0.0595, con=0.0000, loss=0.8216]
[Train]:   0%|          | 3/962 [00:01<06:01,  2.65it/s, ce=0.7621, clp=0.0595, con=0.0000, loss=0.8216]
[Train]:   0%|          | 3/962 [00:01<06:01,  2.65it/s, ce=0.7293, clp=0.0582, con=0.0000, loss=0.7875]
[Train]:   0%|          | 4/962 [00:01<05:14,  3.05it/s, ce=0.7293, clp=0.0582, con=0.0000, loss=0.7875]
[Train]:   0%|          | 4/962 [00:01<05:14,  3.05it/s, ce=0.7538, clp=0.0572, con=0.0000, loss=0.8110]
[Train]:   1%|          | 5/962 [00:01<04:25,  3.60it/s, ce=0.7538, clp=0.0572, con=0.0000, loss=0.8110]
[Train]:   1%|          | 5/962 [00:02<04:25,  3.60it/s, ce=0.7664, clp=0.0609, con=0.0000, loss=0.8273]
[Train]:   1%|          | 6/962 [00:02<03:58,  4.01it/s, ce=0.7664, clp=0.0609, con=0.0000, loss=0.8273]
[Train]:   1%|          | 6/962 [00:02<03:58,  4.01it/s, ce=0.7571, clp=0.0613, con=0.0000, loss=0.8185]
[Train]:   1%|          | 7/962 [00:02<03:34,  4.45it/s, ce=0.7571, clp=0.0613, con=0.0000, loss=0.8185]
[Train]:   1%|          | 7/962 [00:02<03:34,  4.45it/s, ce=0.7439, clp=0.0601, con=0.0000, loss=0.8039]
[Train]:   1%|          | 8/962 [00:02<03:34,  4.44it/s, ce=0.7439, clp=0.0601, con=0.0000, loss=0.8039]
[Train]:   1%|          | 8/962 [00:02<03:34,  4.44it/s, ce=0.7424, clp=0.0591, con=0.0000, loss=0.8015]
[Train]:   1%|          | 9/962 [00:02<03:22,  4.70it/s, ce=0.7424, clp=0.0591, con=0.0000, loss=0.8015]
[Train]:   1%|          | 9/962 [00:02<03:22,  4.70it/s, ce=0.7464, clp=0.0610, con=0.0000, loss=0.8075]
[Train]:   1%|          | 10/962 [00:02<03:23,  4.68it/s, ce=0.7464, clp=0.0610, con=0.0000, loss=0.8075]
[Train]:   1%|          | 10/962 [00:03<03:23,  4.68it/s, ce=0.7432, clp=0.0609, con=0.0000, loss=0.8041]
[Train]:   1%|          | 11/962 [00:03<03:14,  4.88it/s, ce=0.7432, clp=0.0609, con=0.0000, loss=0.8041]
[Train]:   1%|          | 11/962 [00:03<03:14,  4.88it/s, ce=0.7425, clp=0.0594, con=0.0000, loss=0.8019]
[Train]:   1%|          | 12/962 [00:03<03:19,  4.77it/s, ce=0.7425, clp=0.0594, con=0.0000, loss=0.8019]
[Train]:   1%|          | 12/962 [00:03<03:19,  4.77it/s, ce=0.7434, clp=0.0598, con=0.0000, loss=0.8033]
[Train]:   1%|▏         | 13/962 [00:03<03:11,  4.96it/s, ce=0.7434, clp=0.0598, con=0.0000, loss=0.8033]
[Train]:   1%|▏         | 13/962 [00:03<03:11,  4.96it/s, ce=0.7405, clp=0.0615, con=0.0000, loss=0.8020]
[Train]:   1%|▏         | 14/962 [00:03<03:15,  4.85it/s, ce=0.7405, clp=0.0615, con=0.0000, loss=0.8020]
[Train]:   1%|▏         | 14/962 [00:03<03:15,  4.85it/s, ce=0.7423, clp=0.0602, con=0.0000, loss=0.8025]
[Train]:   2%|▏         | 15/962 [00:03<03:09,  4.99it/s, ce=0.7423, clp=0.0602, con=0.0000, loss=0.8025]
[Train]:   2%|▏         | 15/962 [00:04<03:09,  4.99it/s, ce=0.7438, clp=0.0610, con=0.0000, loss=0.8048]
[Train]:   2%|▏         | 16/962 [00:04<03:12,  4.92it/s, ce=0.7438, clp=0.0610, con=0.0000, loss=0.8048]
[Train]:   2%|▏         | 16/962 [00:04<03:12,  4.92it/s, ce=0.7390, clp=0.0597, con=0.0000, loss=0.7987]
[Train]:   2%|▏         | 17/962 [00:04<03:06,  5.07it/s, ce=0.7390, clp=0.0597, con=0.0000, loss=0.7987]
[Train]:   2%|▏         | 17/962 [00:04<03:06,  5.07it/s, ce=0.7415, clp=0.0589, con=0.0000, loss=0.8004]
[Train]:   2%|▏         | 18/962 [00:04<03:10,  4.94it/s, ce=0.7415, clp=0.0589, con=0.0000, loss=0.8004]
[Train]:   2%|▏         | 18/962 [00:04<03:10,  4.94it/s, ce=0.7406, clp=0.0578, con=0.0000, loss=0.7984]
[Train]:   2%|▏         | 19/962 [00:04<03:10,  4.96it/s, ce=0.7406, clp=0.0578, con=0.0000, loss=0.7984]
[Train]:   2%|▏         | 19/962 [00:04<03:10,  4.96it/s, ce=0.7363, clp=0.0576, con=0.0000, loss=0.7939]
[Train]:   2%|▏         | 20/962 [00:04<03:13,  4.86it/s, ce=0.7363, clp=0.0576, con=0.0000, loss=0.7939]
[Train]:   2%|▏         | 20/962 [00:05<03:13,  4.86it/s, ce=0.7316, clp=0.0578, con=0.0000, loss=0.7894]
[Train]:   2%|▏         | 21/962 [00:05<03:03,  5.12it/s, ce=0.7316, clp=0.0578, con=0.0000, loss=0.7894]
[Train]:   2%|▏         | 21/962 [00:05<03:03,  5.12it/s, ce=0.7323, clp=0.0599, con=0.0000, loss=0.7922]
[Train]:   2%|▏         | 22/962 [00:05<03:03,  5.13it/s, ce=0.7323, clp=0.0599, con=0.0000, loss=0.7922]
[Train]:   2%|▏         | 22/962 [00:05<03:03,  5.13it/s, ce=0.7284, clp=0.0596, con=0.0000, loss=0.7881]
[Train]:   2%|▏         | 23/962 [00:05<02:55,  5.36it/s, ce=0.7284, clp=0.0596, con=0.0000, loss=0.7881]
[Train]:   2%|▏         | 23/962 [00:05<02:55,  5.36it/s, ce=0.7258, clp=0.0587, con=0.0000, loss=0.7845]
[Train]:   2%|▏         | 24/962 [00:05<02:59,  5.22it/s, ce=0.7258, clp=0.0587, con=0.0000, loss=0.7845]
[Train]:   2%|▏         | 24/962 [00:05<02:59,  5.22it/s, ce=0.7264, clp=0.0589, con=0.0000, loss=0.7853]
[Train]:   3%|▎         | 25/962 [00:05<02:54,  5.37it/s, ce=0.7264, clp=0.0589, con=0.0000, loss=0.7853]
[Train]:   3%|▎         | 25/962 [00:05<02:54,  5.37it/s, ce=0.7217, clp=0.0590, con=0.0000, loss=0.7807]
[Train]:   3%|▎         | 26/962 [00:05<02:58,  5.26it/s, ce=0.7217, clp=0.0590, con=0.0000, loss=0.7807]
[Train]:   3%|▎         | 26/962 [00:06<02:58,  5.26it/s, ce=0.7165, clp=0.0586, con=0.0000, loss=0.7750]
[Train]:   3%|▎         | 27/962 [00:06<02:53,  5.38it/s, ce=0.7165, clp=0.0586, con=0.0000, loss=0.7750]
[Train]:   3%|▎         | 27/962 [00:06<02:53,  5.38it/s, ce=0.7183, clp=0.0580, con=0.0000, loss=0.7763]
[Train]:   3%|▎         | 28/962 [00:06<02:57,  5.27it/s, ce=0.7183, clp=0.0580, con=0.0000, loss=0.7763]
